,name,age,gender,score
0,Irfan,23.0,M,97.0
1,Rohan,18.0,M,45.0
2,Naira,6.0,F,90.0
3,Rahul,21.0,nan,10.0
4,Pooja,21.0,nan,10.0
5,nan,,nan,
6,Meera,,M,
7,Pooja,,M,
8,Ananya,21.0,M,10.0
9,Aryan,,F,10.0
10,Kabir,,F,
11,Pooja,21.0,nan,10.0
12,Rahul,21.0,nan,10.0
13,Meera,,M,10.0
14,Pooja,21.0,nan,
15,nan,21.0,F,10.0
16,Pooja,21.0,F,
17,Vikram,21.0,M,
18,nan,21.0,F,10.0
19,Pooja,,nan,
20,Kabir,21.0,nan,10.0
21,Ayaan,21.0,M,
22,nan,21.0,nan,10.0
23,Ananya,21.0,nan,
24,Ananya,21.0,M,10.0
25,Vikram,21.0,nan,10.0
26,Ananya,21.0,M,10.0
27,Rahul,,M,10.0
28,Vikram,21.0,F,10.0
29,Meera,21.0,nan,
30,Meera,21.0,F,10.0
31,Pooja,,M,
32,Saanvi,,nan,
33,Pooja,21.0,nan,10.0
34,Zoya,21.0,M,
35,Vikram,,M,
36,Meera,21.0,M,10.0
37,Saanvi,21.0,F,10.0
38,nan,21.0,M,10.0
39,Saanvi,,M,
40,Meera,21.0,nan,10.0
41,Meera,21.0,F,10.0
42,Aryan,21.0,F,10.0
43,Zoya,21.0,nan,
44,Rahul,,M,10.0
45,Aryan,,F,10.0
46,Ananya,,nan,
47,Kabir,,F,10.0
48,nan,,M,
49,Pooja,21.0,F,
50,Pooja,,M,
51,Saanvi,21.0,F,10.0
52,Ayaan,21.0,M,10.0
53,Saanvi,21.0,F,
54,Kabir,,M,10.0
55,Aryan,,M,
56,Rahul,21.0,nan,
57,Pooja,21.0,nan,10.0
58,nan,,nan,
59,Ayaan,21.0,M,
60,Pooja,21.0,M,
61,Meera,,nan,
62,Aryan,,nan,
63,Saanvi,21.0,nan,10.0
64,Ananya,,M,
65,nan,21.0,nan,
66,Pooja,,F,
67,Saanvi,21.0,nan,
68,Aryan,21.0,F,
69,Aryan,21.0,F,10.0
70,Ananya,,nan,
71,Ayaan,21.0,M,
72,Rahul,21.0,F,
73,Ananya,21.0,F,10.0
74,Rahul,,M,
75,Zoya,,nan,10.0
76,Aryan,21.0,F,
77,Rahul,21.0,F,10.0
78,Pooja,21.0,nan,
79,Meera,21.0,M,
80,Vikram,21.0,M,
81,Meera,,nan,10.0
82,Saanvi,21.0,nan,10.0
83,Ananya,21.0,F,
84,Zoya,,nan,10.0
85,Ananya,,M,
86,Rahul,,M,10.0
87,Ayaan,,F,
88,Ayaan,,nan,
89,Rahul,,M,
90,Kabir,21.0,F,
91,Ananya,21.0,M,
92,Saanvi,21.0,F,10.0
93,Zoya,,nan,10.0
94,Aryan,,F,
95,Meera,,F,
